date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:27	12916/12916	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:26%20GMT	http://ardventures.in/kriti/kriti/success.php	D:/KRITI/ardventures.in/kriti/kriti/success.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:27	15636/15636	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:27%20GMT	http://ardventures.in/kriti/kriti/Pryear.php	D:/KRITI/ardventures.in/kriti/kriti/Pryear.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:28	15653/15653	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:27%20GMT	http://ardventures.in/kriti/kriti/samplepaper.php	D:/KRITI/ardventures.in/kriti/kriti/samplepaper.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:29	15653/15653	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:28%20GMT	http://ardventures.in/kriti/kriti/mock_paper.php	D:/KRITI/ardventures.in/kriti/kriti/mock_paper.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:29	17819/17819	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:28%20GMT	http://ardventures.in/kriti/kriti/course-details2.php	D:/KRITI/ardventures.in/kriti/kriti/course-details2.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:30	17781/17781	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:29%20GMT	http://ardventures.in/kriti/kriti/course-details.php	D:/KRITI/ardventures.in/kriti/kriti/course-details.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:34	209875/209875	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Aug%202020%2015:58:26%20GMT	http://ardventures.in/kriti/kriti/assets/img/122.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/122.png	(from http://ardventures.in/kriti/kriti/index.php)
11:51:41	53156/53156	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Sep%202020%2004:15:36%20GMT	http://ardventures.in/kriti/kriti/assets/img/waaa.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/waaa.jpg	(from http://ardventures.in/kriti/kriti/index.php)
11:51:47	36807/36807	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2019:58:58%20GMT	http://ardventures.in/kriti/kriti/assets/img/re.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/re.jpg	(from http://ardventures.in/kriti/kriti/index.php)
11:51:53	140171/140171	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Sep%202020%2004:15:51%20GMT	http://ardventures.in/kriti/kriti/assets/img/wew.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/wew.jpg	(from http://ardventures.in/kriti/kriti/index.php)
11:51:53	121148/121148	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Sep%202020%2004:15:18%20GMT	http://ardventures.in/kriti/kriti/assets/img/cdd.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/cdd.png	(from http://ardventures.in/kriti/kriti/index.php)
